EPOCH__yyyy-mm-ddThh:mm:ss.sssZ,B__nT_(1min),BX_(GSM)_(@_x-component_)_nT_(1min),BY_(GSM)_(@_y-component_)_nT_(1min),BZ_(GSM)_(@_z-component_)_nT_(1min)
2014-02-14T04:08:30.000Z,5.67068,2.92468,-0.918401,4.76270
2014-02-14T04:09:30.000Z,5.67088,3.04062,-0.784118,4.72100
2014-02-14T04:10:30.000Z,5.68362,2.97031,-0.807209,4.77146
2014-02-14T04:11:30.000Z,5.69237,2.80909,-1.05017,4.83636
2014-02-14T04:12:30.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2014-02-14T04:13:30.000Z,5.63744,2.77143,-0.793144,4.83579
2014-02-14T04:14:30.000Z,5.59820,3.35615,-0.684950,4.41330
2014-02-14T04:15:30.000Z,5.56584,3.42505,-0.578029,4.34283
2014-02-14T04:16:30.000Z,5.58554,3.42638,-0.475462,4.36916
2014-02-14T04:17:30.000Z,5.64949,3.15343,-1.09819,4.55015
2014-02-14T04:18:30.000Z,5.63853,3.16761,-1.36168,4.46073
2014-02-14T04:19:30.000Z,5.64520,3.24114,-1.47192,4.38074
2014-02-14T04:20:30.000Z,5.65408,3.26196,-1.72698,4.28128
2014-02-14T04:21:30.000Z,5.63749,3.19508,-1.70486,4.31760
2014-02-14T04:22:30.000Z,5.63501,3.12045,-1.69691,4.37383
2014-02-14T04:23:30.000Z,5.61708,3.01567,-1.90156,4.33606
2014-02-14T04:24:30.000Z,5.61974,2.90661,-1.94772,4.39508
2014-02-14T04:25:30.000Z,5.61153,3.06859,-1.81048,4.33193
2014-02-14T04:26:30.000Z,5.59513,3.25340,-2.05697,4.05388
2014-02-14T04:27:30.000Z,5.58272,3.29162,-2.13859,3.94895
2014-02-14T04:28:30.000Z,5.59037,3.20068,-2.15608,4.02616
2014-02-14T04:29:30.000Z,5.57782,3.40374,-1.80782,3.98403
2014-02-14T04:30:30.000Z,5.56470,3.34394,-2.02424,3.93292
2014-02-14T04:31:30.000Z,5.56541,3.23732,-2.35781,3.86258
2014-02-14T04:32:30.000Z,5.58260,3.31589,-2.34363,3.82948
2014-02-14T04:33:30.000Z,5.58347,3.30710,-2.38907,3.80870
2014-02-14T04:34:30.000Z,5.58684,3.35169,-2.43427,3.72780
2014-02-14T04:35:30.000Z,5.58647,3.51616,-2.04807,3.80632
2014-02-14T04:36:30.000Z,5.56928,3.15593,-2.76059,3.64240
2014-02-14T04:37:30.000Z,5.57527,2.94989,-3.11110,3.55238
2014-02-14T04:38:30.000Z,5.56532,2.69669,-3.04987,3.78512
2014-02-14T04:39:30.000Z,5.56422,2.63895,-2.95320,3.90359
2014-02-14T04:40:30.000Z,5.56418,3.16274,-3.14941,3.30448
2014-02-14T04:41:30.000Z,5.55922,3.29040,-3.20234,3.13018
2014-02-14T04:42:30.000Z,5.55485,3.42933,-2.17479,3.70129
2014-02-14T04:43:30.000Z,5.59248,3.41513,-1.55168,4.14067
2014-02-14T04:44:30.000Z,5.53129,3.21021,-1.22857,4.12628
2014-02-14T04:45:30.000Z,5.45761,2.17015,1.99921,3.58094
2014-02-14T04:46:30.000Z,5.56942,2.87885,-3.07732,3.42416
