UT__yyyy-mm-ddThh:mm:ss.sssZ,N_ION_MOM_ESA-B__cm^-3_(All_Qs),VX_ION_GSM_MOM_ESA-B_(@_1_)_km/s_(All_Qs),VY_ION_GSM_MOM_ESA-B_(@_2_)_km/s_(All_Qs),VZ_ION_GSM_MOM_ESA-B_(@_3_)_km/s_(All_Qs),TX_ION_FA_MOM_ESA-B_(@_1_)_eV_(All_Qs),TY_ION_FA_MOM_ESA-B_(@_2_)_eV_(All_Qs),TZ_ION_FA_MOM_ESA-B_(@_3_)_eV_(All_Qs)
2009-07-04T15:28:38.941Z,5.9604768,-323.68249,11.928118,-22.783993,29.842939,20.808796,42.623113
2009-07-04T15:28:41.908Z,6.2832467,-325.20281,13.831766,-22.313950,23.933079,17.316321,42.027585
2009-07-04T15:28:44.876Z,6.0969548,-325.65094,14.056781,-26.618774,23.151003,16.750494,46.786586
2009-07-04T15:28:47.844Z,5.9373903,-328.83156,13.045983,-26.979794,20.708860,15.352178,42.287803
2009-07-04T15:28:50.812Z,5.9118130,-322.39372,14.019951,-23.360068,24.421479,15.815295,44.494690
2009-07-04T15:28:53.780Z,6.7443537,-325.60562,12.647164,-24.381604,26.300310,15.334284,38.132389
2009-07-04T15:28:56.748Z,6.0483802,-324.76654,11.258262,-24.238826,25.272139,14.313476,34.927401
2009-07-04T15:28:59.716Z,6.1837751,-325.08114,10.667899,-20.706037,26.762425,13.239815,40.307480
2009-07-04T15:29:02.684Z,5.8093943,-326.64021,13.736958,-19.859755,20.990364,13.105994,40.335694
2009-07-04T15:29:05.651Z,5.9447941,-329.11338,15.002700,-16.190141,20.153062,16.291478,40.883213
2009-07-04T15:29:08.619Z,5.8386509,-329.96890,15.239350,-18.510813,21.596592,18.863906,48.285977
2009-07-04T15:29:11.587Z,5.6787632,-330.22248,15.476974,-24.277923,25.529604,21.202462,51.735670
2009-07-04T15:29:14.555Z,5.5188081,-327.22830,17.293433,-27.555259,33.704733,26.299794,49.659163
2009-07-04T15:29:17.523Z,5.8691473,-323.51000,16.097252,-25.643112,33.870481,21.787469,49.684954
2009-07-04T15:29:20.491Z,6.5420314,-315.87944,13.992991,-26.228835,33.157543,20.010243,40.109834
2009-07-04T15:29:23.459Z,6.9464709,-318.15858,13.583676,-24.505042,27.629333,15.381873,36.244576
2009-07-04T15:29:26.426Z,6.7060112,-322.95513,12.875085,-20.624470,24.664380,15.218171,42.569602
2009-07-04T15:29:29.394Z,5.7664835,-329.10931,11.965995,-22.388684,21.296102,15.272249,45.717730
2009-07-04T15:29:32.362Z,5.4181219,-335.19975,11.916664,-23.325776,20.144514,18.782228,46.222932
2009-07-04T15:29:35.330Z,5.4461392,-334.99876,13.253940,-26.299489,27.471185,21.118968,46.522930
2009-07-04T15:29:38.298Z,5.8507683,-331.17754,14.380610,-28.934107,27.564167,23.831368,45.008521
2009-07-04T15:29:41.266Z,6.5784330,-324.13631,14.151440,-27.522250,27.292842,19.630043,40.595488
2009-07-04T15:29:44.234Z,6.8219966,-323.52308,13.552820,-26.967454,23.589628,18.449591,42.730903
2009-07-04T15:29:47.202Z,6.6080740,-325.61115,13.015166,-26.045398,24.799944,16.314034,41.460469
2009-07-04T15:29:50.169Z,6.6363644,-324.90082,12.866671,-24.923927,21.738065,16.659326,44.093673
2009-07-04T15:29:53.137Z,6.6377380,-324.64532,13.918892,-23.603500,23.971451,15.169239,44.897840
2009-07-04T15:29:56.105Z,6.5583104,-325.91178,14.145817,-22.396621,21.264765,14.811082,43.933366
2009-07-04T15:29:59.073Z,6.3441546,-329.30765,13.405682,-22.760798,20.504508,14.493720,42.980990
2009-07-04T15:30:02.041Z,6.4532455,-328.78165,13.659137,-19.799301,18.814945,16.239096,47.561043
2009-07-04T15:30:05.009Z,6.2389776,-327.20710,13.832324,-20.435780,20.448779,20.357354,49.309597
2009-07-04T15:30:07.977Z,6.1863560,-328.15796,13.829649,-21.669301,21.589666,19.550779,42.412531
2009-07-04T15:30:10.945Z,6.2145955,-327.94442,14.267530,-22.947862,21.842310,18.770514,46.033703
2009-07-04T15:30:13.912Z,6.3237477,-328.10312,14.438142,-22.892846,18.973357,15.844949,40.150820
2009-07-04T15:30:16.880Z,6.4329445,-324.77092,14.668459,-20.828090,20.490114,15.549542,41.395738
2009-07-04T15:30:19.848Z,6.5421852,-326.40838,13.657121,-19.419354,20.903148,13.013399,36.393292
2009-07-04T15:30:22.816Z,5.9498961,-328.95878,14.365628,-18.228330,20.586277,12.398445,32.964341
2009-07-04T15:30:25.784Z,5.5192971,-329.91178,12.718182,-22.286611,25.178320,12.570670,31.938214
2009-07-04T15:30:28.752Z,5.7903841,-333.32850,11.804768,-26.050865,25.558551,12.449763,32.720307
2009-07-04T15:30:31.720Z,5.6295771,-333.76561,11.563044,-26.593919,25.162325,12.497849,32.675457
2009-07-04T15:30:34.688Z,5.8737925,-333.00365,11.341142,-26.631281,27.182987,12.927442,34.694609
2009-07-04T15:30:37.655Z,5.8209808,-332.38017,11.855265,-28.169959,27.827408,11.358541,34.765370
2009-07-04T15:30:40.623Z,6.0383183,-331.23843,12.448750,-26.733168,23.604505,11.361738,28.574563
